Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey
12150,1214.85,559,62,0,182,132,50,0,15,0.7359469,7.483871,7.787234,6.533333,True,False
12200,1219.849,616,66,0,281,206,75,1,16,0.6702578,7.969697,8.56,6.125,True,False
12250,1224.848,705,64,0,278,233,45,1,11,0.6580533,8.71875,8.754717,8.545455,True,False
12300,1229.847,798,67,0,350,275,75,0,15,0.7778418,7.552239,7.192307,8.8,True,False
12350,1234.846,883,65,0,464,342,122,0,19,0.811778,8.83077,8.782609,8.947369,True,False
12400,1239.844,1000,68,0,409,295,114,1,20,0.7645164,9.735294,9.083333,11.3,True,False
12450,1244.843,1112,66,0,593,408,185,0,21,0.8393148,9.939394,9.844444,10.14286,True,False
12500,1249.842,1241,67,0,549,360,189,1,23,0.7957278,8.791045,8.045455,10.21739,True,False
12550,1254.841,1384,71,0,727,354,373,2,36,0.8423648,8.056338,8.657143,7.472222,True,False
12600,1259.839,1570,72,0,816,444,372,1,33,0.8106967,8.25,9.153846,7.181818,True,False
12650,1264.838,1715,81,0,1094,601,493,1,35,0.8502972,8.987655,8.673913,9.4,True,False
12700,1269.837,1887,98,0,1431,799,632,2,41,0.7623057,9.367347,9.491228,9.195122,True,False
12750,1274.836,2069,102,0,1407,724,683,1,48,0.7023405,9.666667,10.09259,9.1875,True,False
12800,1279.835,2257,108,0,1667,839,828,2,55,0.7207114,10.2963,10.39623,10.2,True,False
12850,1284.833,2403,121,0,1960,944,1016,2,65,0.6675954,11.85124,12.76786,11.06154,True,False
12900,1289.832,2595,125,0,2203,911,1292,2,73,0.6672997,10.624,11.07692,10.30137,True,False
12950,1294.831,2750,142,0,2762,1139,1623,2,84,0.795509,10.67606,11.44828,10.14286,True,False
13000,1299.83,2906,159,0,2696,1004,1692,0,99,0.8309323,13.04403,13.96667,12.48485,True,False
13050,1304.828,3074,170,0,3474,1592,1882,0,93,0.8110831,11.28235,10.93507,11.56989,True,False
13100,1309.827,3225,195,0,3865,1877,1988,1,104,0.7675292,12.15897,12.42857,11.92308,True,False
13150,1314.826,3409,216,0,5228,2154,3074,4,132,0.7177625,11.39352,11.04762,11.61364,True,False
13200,1319.825,3539,228,0,5767,2080,3687,1,142,0.7277773,9.903509,10.55814,9.507042,True,False
